愛育,あいいく,aiiku
藍色,あいいろ,aiiro
愛飲,あいいん,aiin
合い鍵,あいかぎ,aikagi
相方,あいかた,aikata
哀感,あいかん,aikan
哀願,あいがん,aigan
合い口,あいくち,aikuchi
愛犬,あいけん,aiken
愛顧,あいこ,aiko
愛国,あいこく,aikoku
愛護,あいご,aigo
愛妻,あいさい,aisai
挨拶,あいさつ,aisatsu
哀惜,あいせき,aiseki
愛想,あいそ,aiso
間,あいだ,aida
間柄,あいだがら,aidagara
あいつ,あいつ,aitsu
相手,あいて,aite
相手方,あいてかた,aitekata
愛読,あいどく,aidoku
間の手,あいのて,ainote
相乗り,あいのり,ainori
合い服,あいふく,aifuku
合間,あいま,aima
哀楽,あいらく,airaku
亜鉛,あえん,aen
青嵐,あおあらし,aoarashi
青色,あおいろ,aoiro
青黴,あおかび,aokabi
青空,あおぞら,aozora
青田,あおた,aota
青菜,あおな,aona
青二才,あおにさい,aonisai
青海苔,あおのり,aonori
青葉,あおば,aoba
仰向け,あおむけ,aomuke
青虫,あおむし,aomushi
青物,あおもの,aomono
垢,あか,aka
赤色,あかいろ,akairo
赤毛,あかげ,akage
赤子,あかご,akago
赤米,あかごめ,akagome
赤錆び,あかさび,akasabi
証,あかし,akashi
赤潮,あかしお,akashio
暁,あかつき,akatsuki
赤土,あかつち,akatsuchi
茜,あかね,akane
茜色,あかねいろ,akaneiro
赤旗,あかはた,akahata
赤裸,あかはだか,akahadaka
赤松,あかまつ,akamatsu
赤身,あかみ,akami
赤虫,あかむし,akamushi
赤ら顔,あからがお,akaragao
明かり,あかり,akari
亜寒帯,あかんたい,akantai
上り口,あがりぐち,agariguchi
秋,あき,aki
飽き飽き,あきあき,akiaki
秋風,あきかぜ,akikaze
空き缶,あきかん,akikan
秋草,あきくさ,akikusa
秋口,あきぐち,akiguchi
秋雨,あきさめ,akisame
空き巣,あきす,akisu
空き地,あきち,akichi
空き箱,あきばこ,akibako
秋晴れ,あきばれ,akibare
空き瓶,あきびん,akibin
空き家,あきや,akiya
呆れ顔,あきれがお,akiregao
悪,あく,aku
悪意,あくい,akui
悪声,あくせい,akusei
悪戦,あくせん,akusen
悪態,あくたい,akutai
悪玉,あくだま,akudama
悪徳,あくとく,akutoku
悪人,あくにん,akunin
あくび,あくび,akubi
悪文,あくぶん,akubun
悪弊,あくへい,akuhei
悪癖,あくへき,akuheki
悪魔,あくま,akuma
悪夢,あくむ,akumu
悪役,あくやく,akuyaku
あぐら,あぐら,agura
明け方,あけがた,akegata
曙,あけぼの,akebono
揚げ足,あげあし,ageashi
上げ下げ,あげさげ,agesage
上げ潮,あげしお,ageshio
揚げ物,あげもの,agemono
顎,あご,ago
朝,あさ,asa
朝市,あさいち,asaichi
朝起き,あさおき,asaoki
朝顔,あさがお,asagao
朝駆け,あさがけ,asagake
朝方,あさがた,asagata
朝霧,あさぎり,asagiri
朝げ,あさげ,asage
朝潮,あさしお,asashio
浅瀬,あさせ,asase
朝露,あさつゆ,asatsuyu
朝凪ぎ,あさなぎ,asanagi
朝晩,あさばん,asaban
朝日,あさひ,asahi
浅緑,あさみどり,asamidori
朝飯,あさめし,asameshi
朝靄,あさもや,asamoya
朝焼け,あさやけ,asayake
あさり,あさり,asari
字,あざ,aza
あざらし,あざらし,azarashi
脚,あし,ashi
足跡,あしあと,ashiato
足音,あしおと,ashioto
海驢,あしか,ashika
足掛け,あしかけ,ashikake
足枷,あしかせ,ashikase
足型,あしがた,ashigata
足固め,あしがため,ashigatame
足首,あしくび,ashikubi
足腰,あしこし,ashikoshi
足先,あしさき,ashisaki
明日,あす,asu
明日葉,あしたば,ashitaba
足代,あしだい,ashidai
足止め,あしどめ,ashidome
足取り,あしどり,ashidori
足長,あしなが,ashinaga
足並み,あしなみ,ashinami
足場,あしば,ashiba
足踏み,あしぶみ,ashibumi
足下,あしもと,ashimoto
足技,あしわざ,ashiwaza
汗,あせ,ase
汗疹,あせも,asemo
畦,あぜ,aze
校倉,あぜくら,azekura
畦道,あぜみち,azemichi
遊び場,あそびば,asobiba
価,あたい,atai
私,わたし,watashi
頭,あたま,atama
頭打ち,あたまうち,atamauchi
頭金,あたまきん,atamakin
頭越し,あたまごし,atamagoshi
辺り,あたり,atari
仇,あだ,ada
仇討ち,あだうち,adauchi
徒名,あだな,adana
熱々,あつあつ,atsuatsu
圧延,あつえん,atsuen
厚紙,あつがみ,atsugami
厚着,あつぎ,atsugi
厚身,あつみ,atsumi
軋轢,あつれき,atsureki
宛て先,あてさき,atesaki
宛て名,あてな,atena
後,あと,ato
後足,あとあし,atoashi
後々,あとあと,atoato
跡形,あとかた,atokata
後書き,あとがき,atogaki
後釜,あとがま,atogama
後先,あとさき,atosaki
跡地,あとち,atochi
跡継ぎ,あとつぎ,atotsugi
跡取り,あととり,atotori
後払い,あとばらい,atobarai
後回し,あとまわし,atomawashi
後戻り,あともどり,atomodori
穴,あな,ana
穴埋め,あなうめ,anaume
穴熊,あなぐま,anaguma
穴蔵,あなぐら,anagura
穴子,あなご,anago
あなた,あなた,anata
穴場,あなば,anaba
兄,あに,ani
兄貴,あにき,aniki
兄嫁,あによめ,aniyome
姉,あね,ane
あの世,あのよ,anoyo
肋骨,あばらぼね,abarabone
あばら家,あばらや,abaraya
家鴨,あひる,ahiru
虻,あぶ,abu
あぶく,あぶく,abuku
油,あぶら,abura
油揚げ,あぶらあげ,aburaage
脂汗,あぶらあせ,aburaase
油売り,あぶらうり,aburauri
油絵,あぶらえ,aburae
油蝉,あぶらぜみ,aburazemi
油菜,あぶらな,aburana
脂身,あぶらみ,aburami
油虫,あぶらむし,aburamushi
あほ,あほ,aho
尼,あま,ama
雨脚,あまあし,amaashi
雨音,あまおと,amaoto
雨蛙,あまがえる,amagaeru
雨傘,あまがさ,amagasa
甘口,あまくち,amakuchi
雨具,あまぐ,amagu
雨靴,あまぐつ,amagutsu
雨雲,あまぐも,amagumo
雨乞い,あまごい,amagoi
